zipcode,housing_score,unemployed_score,commute_time_score,avg_income_score,private_insurance_score,education_score,crime_score,environment_score,econ_score,final_score
60018,0.0,0.0,0.0,0.0,0.0,0.0,0.8996865203761756,0.9845070422535211,0.0,0.27
60068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.29
60131,0.0,0.0,0.0,0.0,0.0,0.0,0.980146290491118,0.0,0.0,0.17
60202,0.0,0.0,0.0,0.0,0.0,0.0,0.9973876698014628,1.0,0.0,0.29
60302,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.29
60501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17
60601,0.06,0.04,0.34,1.0,0.19,0.0,0.800417972831766,0.8774647887323943,0.1368,0.28
60602,0.0,0.0,0.36,0.4,0.01,0.5942121043631805,0.741901776384535,0.9183098591549296,0.07640000000000001,0.35
60603,0.59,0.0,0.18,0.72,0.01,0.0,0.9493207941483804,0.946830985915493,0.0904,0.18
60604,0.0,0.0,0.28,0.67,0.0,0.0,0.8751306165099269,0.9623239436619718,0.095,0.3
60605,0.41,0.45,0.4,0.53,0.39,0.6859810822657646,0.6504702194357367,0.7302816901408451,0.05460000000000002,0.23
60606,0.45,0.01,0.0,0.72,0.05,0.0,0.9440961337513062,0.8982394366197183,0.07279999999999999,0.2
60607,0.36,0.22,0.19,0.61,0.38,0.4227516848141102,0.7471264367816092,0.6616197183098591,0.0688,0.21
60608,0.49,0.63,0.5,0.22,0.67,0.2628618493592937,0.668234064785789,0.0926056338028169,0.023200000000000005,0.07
60609,0.96,0.76,0.64,0.14,0.44,0.2585402046468409,0.5919540229885057,0.0056338028169014,0.004400000000000001,-0.06
60610,0.06,0.22,0.33,0.62,0.55,0.3634240067735633,0.7789968652037618,0.5876760563380281,0.0906,0.27
60611,0.0,0.13,0.27,0.76,0.44,0.0,0.6008359456635319,0.5492957746478873,0.10500000000000002,0.21
60612,0.53,0.39,0.57,0.27,0.29,0.1807184354064709,0.6442006269592476,0.4485915492957746,0.048799999999999996,0.09
60613,0.47,0.28,0.75,0.44,0.66,0.2492172496019364,0.7633228840125392,0.6204225352112676,0.11180000000000001,0.18
60614,0.13,0.31,0.57,0.89,0.86,0.330124371330677,0.9033437826541276,0.0,0.1432,0.22
60615,0.63,0.42,0.48,0.23,0.38,0.2516671376945063,0.8568443051201672,0.7714788732394366,0.03580000000000001,0.15
60616,0.65,0.37,0.48,0.3,0.53,0.3403446552984032,0.7429467084639498,0.6330985915492957,0.0548,0.13
60617,0.9,0.81,0.85,0.12,0.51,0.1986446062792334,0.7230929989550678,0.1436619718309859,0.0202,-0.01
60618,0.5,0.51,0.71,0.48,0.94,0.4097133688686191,0.8281086729362591,0.2531690140845071,0.0954,0.16
60619,0.82,0.95,0.85,0.08,0.39,0.204787771289549,0.5710553814002091,0.5894366197183099,-0.005399999999999983,0.02
60620,0.87,0.89,0.9,0.09,0.41,0.070212311199772,0.4608150470219435,0.5947183098591549,0.008600000000000016,-0.02
60621,0.85,0.4,0.94,0.0,0.14,0.0885025596744665,0.5412748171368861,0.7450704225352113,0.0516,0.03
60622,0.24,0.23,0.52,0.64,0.72,0.2389103219190647,0.8490073145245559,0.3841549295774648,0.1172,0.22
60623,0.69,0.6,0.62,0.08,0.44,0.2162378057144547,0.3401253918495298,0.427112676056338,0.015600000000000006,0.0
60624,0.94,0.52,0.7,0.03,0.19,0.1842786282572876,0.0,0.6366197183098592,0.018199999999999994,-0.09
60625,0.39,0.54,0.75,0.35,0.7,0.361409189562567,0.8422152560083594,0.5961267605633802,0.07320000000000002,0.21
60626,0.65,0.34,0.83,0.15,0.47,0.2339375021465874,0.7371995820271682,0.772887323943662,0.076,0.14
60628,0.94,0.86,0.92,0.09,0.37,0.1694278478302075,0.3599791013584117,0.4961267605633802,0.012600000000000012,-0.05
60629,0.66,1.0,0.79,0.16,0.68,0.2336760848181591,0.6081504702194358,0.6644366197183098,0.0022000000000000214,0.08
60630,0.55,0.28,0.66,0.36,0.49,0.2275380389880482,0.8923719958202717,0.6042253521126761,0.088,0.17
60631,0.46,0.1,0.5,0.48,0.27,0.3900193385727579,0.9853709508881924,0.848943661971831,0.09680000000000001,0.26
60632,0.78,0.8,0.63,0.17,0.58,0.3184503776206894,0.7001044932079414,0.5200704225352113,0.007199999999999998,0.06
60633,0.88,0.12,0.88,0.12,0.08,0.1013183705122941,0.9420062695924764,0.851056338028169,0.0888,0.12
60634,0.54,0.36,0.8,0.28,0.64,0.290847089628151,0.890282131661442,0.6482394366197184,0.09040000000000002,0.19
60636,0.95,0.44,1.0,0.04,0.14,0.2727743792237719,0.5757575757575757,0.6954225352112676,0.05680000000000001,0.04
60637,0.79,0.67,0.62,0.17,0.34,0.1043853599582479,0.6499477533960293,0.6890845070422535,0.012200000000000003,0.05
60638,0.0,0.31,0.67,0.28,0.48,0.3422284339099715,0.8610240334378265,0.7045774647887324,0.07700000000000001,0.31
60639,0.73,0.43,0.83,0.16,0.55,0.3629882811946112,0.5862068965517242,0.4795774647887324,0.0694,0.08
60640,0.29,0.44,0.76,0.26,0.75,0.3522775664345156,0.7648902821316614,0.456338028169014,0.07920000000000002,0.2
60641,0.66,0.43,0.88,0.31,0.59,0.3983629819296563,0.8072100313479624,0.5306338028169014,0.09100000000000001,0.15
60642,0.12,0.12,0.33,0.62,0.29,0.3554459135283236,0.9085684430512015,0.6211267605633803,0.0922,0.29
60643,0.86,0.39,0.75,0.34,0.36,0.2811885913699906,0.7910135841170324,0.7359154929577465,0.07660000000000002,0.11
60644,1.0,0.76,0.88,0.04,0.27,0.209750632006204,0.3510971786833855,0.7461267605633803,0.011600000000000006,-0.03
60645,0.58,0.31,0.63,0.3,0.32,0.369298308415191,0.9420062695924764,0.8119718309859155,0.06860000000000001,0.21
60646,0.63,0.1,0.62,0.55,0.23,0.2987125816530021,0.9785788923719958,0.8369718309859155,0.11420000000000001,0.22
60647,0.26,0.44,0.65,0.49,1.0,0.2394401988275718,0.6509926854754441,0.2570422535211267,0.10120000000000001,0.16
60649,0.93,0.67,0.92,0.07,0.36,0.1251145438422036,0.7163009404388715,0.7633802816901408,0.033000000000000015,0.05
60651,0.71,0.65,0.76,0.14,0.39,0.1451142528646527,0.3432601880877742,0.6390845070422535,0.027600000000000013,0.02
60652,0.74,0.37,0.87,0.23,0.31,0.2286654840066695,0.9346917450365726,0.8584507042253521,0.07800000000000001,0.17
60653,0.79,0.49,0.54,0.16,0.24,0.2422304349887329,0.8448275862068966,0.8042253521126761,0.020800000000000006,0.12
60654,0.14,0.1,0.24,0.72,0.36,0.0,0.7836990595611285,0.6855633802816901,0.09839999999999999,0.22
60655,0.71,0.11,0.58,0.45,0.25,0.5745297805642633,0.9665621734587252,0.9102112676056338,0.09979999999999999,0.24
60656,0.96,0.14,0.56,0.32,0.25,0.2156552724352511,0.9832810867293624,0.9066901408450704,0.08120000000000001,0.13
60657,0.34,0.33,0.65,0.61,0.95,0.3719439465726032,0.8187042842215256,0.3964788732394366,0.12440000000000001,0.21
60659,0.52,0.25,0.52,0.23,0.26,0.3983326668372883,0.915360501567398,0.8306338028169014,0.05540000000000001,0.22
